lat,long,name,firstname,live_year,Dates de vie et de mort,Ville ou pays d'origine,Liens familiaux,Titre,Lieux d'habitations,Œuvres parisiennes,Œuvres versaillaises,autres œuvres,notes,documents,Collaborations connues,Inventaire après décès
Iconnue,Inconnue,BAILHET,Edme,,,,,"En 1698 : maitre sculpteur et peintre  FL24838, En 1698 il est dit maitre sculpteur (F.L. 19376)","En 1698 habite place de Grâce, paroisse ST Jean.",,,,"Assiste au mariage de Jacques Deleporte, sculpteur, son amy. ",FL24838 et F.L. 19376,,
48.866038,2.357697,BAILHET,Edme,,,,,"En 1698 : maitre sculpteur et peintre  FL24838, En 1698 il est dit maitre sculpteur (F.L. 19376)",En 1698 il habite rue Fripillon parroisse de St Nicolas des champs.,,,,"Assiste au mariage de Jacques Deleporte, sculpteur, son amy. Le marquis Léon de Laborde a noté ""rue Fripillon"", il s'agit de la rue Frépillon. ",FL24838 et F.L. 19376,,
48.853926,2.297304,BARAT,Nicolas,,Vivait encore en 1683,,"Mairé à Marie-Anne Verret. Une fille : Marie Catherine, née en 1680.",Qualifié de sculpteur en 1680.,"En novembre 1680, habite rue Champs Fleury",,,,,F.L. 2126,,
"disparue, à compléter","disparue, à compléter",BARBÉ ou BARBE,Claude,,,,"Marié à Catherien Dori (F.L. 2149), a une fille Marie Marguerite, née le 17 juin 1673",Qualifié de maitre peintre et sculpteur du roi en 1673 (F.L. 2149),"En juin 1673, habitent rue de la Pelleterie, paroisse St Jacques de la Boucherie (F.L. 2149)","En 1674, passe un marché avec Claude Baudouin conseiller du roi au châtelet, pour des travaux dans sa maison rue St Louis en L'île.",,,,F.L. 2149 et LAMY,,
,,BARBE ,Jacques,,?-1679,,"Peut-être parent de Claude Barbe, sculpteur. ",Sculpteur en boisAdmis à l'académie de St Luc le 26 juin 1668.,,"En 1670 : sculpte quatre grandes armoire en chêne pour le garde meuble du roi, payé 2508 livres.",1678 : travaille à Versailles et au château de Clagny.,"1676, divers travaux au bâtiment du Val à St Germain en Laye",,,,
,,BAROIS,Bonaventure,,,Peut-être parent avec François Barois.,,1678 : admis à l'académie de ST Luc. Figure encore sur les listes de la communauté en 1782.,,,,,,LAMI,,
,,BAROIS ou BARROIS,François,,1656 -1726,Paris,"Fils de Louis Barrois ou Barois, bourgeois parisien. Sa sœur, Anne, est mariée à Guillaume-Denis du Choiselle, conseiller du roi, secrétaire et controleur général de l'extraordinaire des guerres et cavalerie légère de France. ","En 1682, second prix de sculpture à l'académie (le 1er prix était accordé à Nicolas Coustou). 1693 : élu à l'académie de St Luc, en 1700 : admis à l'académie, 1702 : assistant professeur, 1706 : professeur. En 1708 qualifié de sculpteur ordinaire des bätiments du roy (F.L.16694). En 1720 : assistant recteur. En 1726, il meurt, qualifié de recteur.","Entre 1683 et 1686, pensionnaire à l'académie de France à Rome, avec Nicolas Coustou. En 1708 habite rue des petits pères (F.L.16694), Rue Fromenteau en 1716 (MC). Habite rue ST Honoré lorsqu'il meurt.","Cain construisant la ville d'Enoch, second prix de l'académie en 1682 / ornements pour le dôme des invalides 1682 / cléopatre mourant : morceau de réception de 'lacadémie le 30 octobre 1700 / st grégoire pour une des chapelles du dôme des invalides (ne présente que le marbre) / 1704 : une pieta en bas relief présenté au salon de 1704 / Saint Louis : modèle en cire en 1704, projet annulé","Vertuùne et Pomomne, Vase, deux chapiteaux, ornements pour le grand trianon, chapiteau pour le vestibule de l'ancienne chapelle de evrsailles, quatre couronnements pour marly / vases pour demi-lune des vents a marly / tête du vent pour marly / deux nymphes pour Marly / Pomone pour marly","Vénus callipyge, copiée durant son séjour à l'académie de rome, placé à versaille spuis marly",Assiste au mariage de la fille d'Antoine Coysevox (F.L.16694),Souchal T1 et MC/ET/CXV/368 + F.L. 16694,avec Jouvenet et cornu pour les ornements du grand trianon/ avec mazline et jouvenet pour les quatre couronnements de frontons du pavillon royla de marly / avec van clève pour des ornments du dôme des invlaides en 1699,
,,BAUNUREAU,Nicolas,,en 1711 il est dit agé de quarante neuf ans (F.L. 3099),,"Cousin germain de Marie Vieille, fille de feu Philippe Vieille, vivant rubennier ( F.L. 3098). Veuf de Marguerite Noël et marié en à Mme Desmarais, fille de François Desmarais, mautre tondeur de draps","En 1690, qualifié de maitre sculpteur et peintre ( F.L. 3098)","En 1690, il est dit habitant rue Baillet, paroisse St Germain l'auxerrois ( F. L. 3098). En 1711, il habite une autre rue, que je n'arrive pas à lire sur le fichier Laborde (F.L. 3099)",,,,,F.L. 3098,,
,,BENOIST,Antoine,,1632-1717,Né à Joigny dansl' Yonne,"Epouse Gabrielle Houdaille, plusieurs enfants dont Gabriel Benoist, peintre. ",Sculpteur en cire et peintre de portrait Son morceau de réception en 1681 est un portrait du sculpteur Jacques Buirette,1684 : se rend en Angleterre. A Paris habite rue des Saints Pères,"exécute les portraits de nombreuses personnalités du temps.Ne travaille pas seulment la cire, en 1665, touche 400 livres pour une figure en pierre destinée au dôme des Tuileries, On lui attribue le tombeau de Claude Bernard, dit le pauvre prêtre, dans la chapelle de l'hopital de la charité.",il réalise avec Legros et Massou les ornements en marbre et en métal de la fontaine de l'arc de triompheà Versailles. ,,"Execute les portraits des personnages du temps et fait un musée, chez lui rue des Saints Pères, musée connu sous le nom de Cercle Royal. En 1668, il reçoit par lettres patentes l'autorisation ""d'exposer au public dans toute l'étendue du royaume, pendant trente ans, la représetnation par lui faite en cire de tous les princes, pricnesses, ducs, duchesses etc. qui composait le cercle de la feue reine, d'en faire même de nouveaux et de masquer en cire à sa convenance"". En 1718, cette autorisation se transmet à son fils Gabriel Benoist. Moyennant finance, il a reçut des armoiries.",,,
,,BENOIST,Claude,,,,"Marié à Christine Grandidier, a un fils Dominique arsonier","en 1704 (après sa mort), qualifié de sculpteur (F.L. 3923)","En 1704 (posthume), sa femme habite rue Fremanteau (F.L. 3923)",,,,,F.L. 3923,,
,,BÉRIA ou BERGEA,Antoine,,,,Une fille et un fils. Se remarie en 1718.,,"Habite rue St Jacques, paroisse St Benoit. ",,1705-1710 : travaille à la décoration du château de Versailles.,En 1703 : travaille au château de Fontainebleau.  1714 : de nouveau à Fontainbleau.,,,,
,,BERNARD,Pierre,,,,,"En 1677, qualifié de sculpteur (F.L. 4246)","En 1677 habite rue des Fossés, paroisse St Germain l'auxerrois (F.L. 4246)",,,,,F.L. 4246,,
,,BERNARD ou BÉNARD ou BESNARD,Michel,,"en 1708 il est dit avoir environ 25 ans (F.L. 3789), Mort avant 1727",,"En 1708 se marie avec Marie-Jeanne Pineau, demeurant aux gobelins, fille de feu Jean-Baptiste Pineau sculpteur du roi  (F.L. 3789). De ce mariageil a une fille, Marie-Ane, née en 1718 (F.L. 3790)En 1727 : inventaire après décès de sa seconde femme : Marie Eustache, marchande de poissons, qui vivait rue de la mortellerie.Son fils, Martin Bénard est également qualifié de sculpteur.  Danss cet acte est précisé que Martin Bénard est compagnon sculpteur et demeure rue de la MortellerieMC/ET/V/342","En 1708 il est qualifié de sculpteur (F.L. 3789), en 1718, qualifié de sculpteur du roi (F.L. 3790)","En 1708 il habite en bas du Pont Marie, paroisse St Louis (F.L. 3789), En 1712 : Hôtel des Gobelins FL54597",Payé le 17 mars 1725 309 livres et 10 sols pour des sculptures sur bois executées au palais du Luxembourg en 1720. 513 livres pour des sculptures faites en 1723 par Bénard et Pelletier dans une maison à Paris,,844 livres pour des sculptures sur bois faites au château de Fontainebleau.,"A son mariage assiste Jean-Baptiste Duru, peintre ordinaire du roy (F.L. 3789). A la naissance de sa fille assistent François Biseau, secrétaire des Bâtiments du Roy (parrain) et Marie Anne Marchand épouse de Denys Jossenay, architecte du roy (marraine) F.L. 3790","F.L. 3789 F.L. 3790, MC/ET/CXVIII/373 et MC/ET/XCI/722 et MC/ET/V/342  et LAMI",Avec Pelletier en 1723 pour des sculptures faites à Paris.Paiements à Tuby (100 et269 lvres) et à Rolland (563 livres),"Oui.- Les outils se trouvant dans l'atelier sont estimés par Claude-Toussaint Chevalier, demeurant rue Mouffetard, et Jacques Leloup, dit Thierry(101), demeurant rue des Gravilliers, maîtres sculpteurs. 
Trois douzaines et demie d'outils à 3 sols pièce ... 6 l. 6 s. Deux râpes à bois ... 11. 10 s. 
 
101 Il signe Le tout, dit Thieriy. 
Deux douzaines d'outils pour le marbre ... 31. 12 s. Deux masses ... 10 s. Plusieurs outils pour le plâtre et des compas ... 11. Onze valets ... 51. 10 s. 
Cinq établis ... 15 l. 
- A noter dans l'inventaire des papiers : le contrat de mariage entre Michel Bénard et Marie Jeanne Pineau passé devant Richard et Taboué, le 8 juillet 1708; - des mentions de payements faits au défunt pour ses travaux : le 17 mars 1725, 309 livres 10 sols pour sculptures sur bois exécutées au palais du Luxembourg en 1720; 513 livres pour sculptures sur bois faites en 1723 par Michel Bénard et par le sieur Pelletier (102) dans une maison à Paris occupée par les bureaux des bâtiments du roi; 844 livres pour sculptures sur bois faites au château de Fontainebleau en 1725, et seize promesses signées par le duc d'Antin, datées du 2 juillet 1721. Mentions de sommes payées par Michel Bénard à d'autres sculpteurs : 100 et 269 livres à Tuby(103), 563 livres à Rolland."
,,BERTIN, Claude,,? - 1705,Paris,"Fils d'un sculpteur qui meurt en 1671. Frère et premier professeur du peintre Nicolas.Marié à Agnès Belu.  En 1717, sa fille, Marguerite, se marie à Jacques Loubradou de la Penière, chef de la fruiterie du roi.",A eu le titre de sculpteur ordinaire du Roi mais n'a jamais été académicien.,"Versailles, où il meurt en 1705",,des ornements pour la colonnade / quatre grenouilles et six lézards pour e bassin de latone / des corniches pour le trianon / de nombreux vases / des consoles / des corniches  / aristée et Euridice pour Marly / vierge vestale vu dans son studio de versailles/ des travaux pour la chapelle / minerve enfant,"deux groupes d'enfants assis, un bacchus, une flore, un apollon, le nil et le tibre d'après l'antique, la seine, vénus et cupidon, diane, popea, bereice, didon, cleopatre et zénobie, buste de louis Xiv, Venus medicis (moulage), buste d'un enfant, un enfant assis, un homme debout, tête d'un philosophe; on ne sait pas pour où. Meudon : moultes travaux","Louvois écrit qu'il a beaucoup d'estime pour Bertin qui travaille bien et est un bon artisan. De 1685 jusqu'à sa mort, il a reçoit une pension pour ""maintenir et nettoyer les statues et vases de Versailles"", généralement dans le par cet à Marly, Trianon, et Meudon. Il avait une équipe de restaurateurs sous ses ordres.",Souchal T1 F.L. 4485,,
,,BERTRAND,Philippe,,1663 - 1724,Paris,"Fils du sculpteur David Bertrand,marié à Marie Meusnier (MC/ET/VIII/897 ). Son fils, Thomas Bertrand sera reçu à l'académie de ST Luc le 13 juillet 1735 en tant que sculpteur.","qualifié de sculpteur du roi en 1713 (MC/ET/VIII/897). En 1715, qualifié de sculpteur de l'académie Royale (MC/ET/IX/600)","Demeure en 1713 Grande-rue de Sèvres (MC/ET/VIII/897, en 1715 dit habité rue de Sèvres (la même?) (MC/ET/IX/600 ), de même en 1716, (MC/ET/I/267). En 1716 : bail pour neuf ans de Ohilippe Bertrand et sa femme ainsi que Elisabeth Miquelot, à Claude Lainé de deux pièces de terre dans le marais,à St Germain des près,  au lieu dit Le Gros Caillou, 69 livres de rentes annuelles. En 1720 : bail pour cinq ans et six mois d'une petite maison que ledit Liané fera bâtir sur le terrain, moyennant 100 livres de loyer annuel. En 1720 : désistement pour la construction de la maison du Gros Caillou (MC/ET/I/293 ). 1721 : Bail pour neuf ans de Elisabeth Miquelot, Philipper Bertrand et Marie Meusnier à Nicolas Gallois pour 82 perches de terre et une en marais, a st germain des près au bout de la rue Saint Dominique (Gros caillou) (destiné à faire de l'agriculture et du vin)MC/ET/I/303   Meurt rue de Sève (Montpellier?)","c. 1702 : Saint Satyrus, statue en plâtre pour le dôme des invalides / salon de 1704 : statue de Lucrèce, portrait de marie meusnier, portrait de Jacques Philipppe Ferrand / modèle pour un trône archépiscopal, Notre dame de Paris, cire 1710 - 11 / Justice et force pour la cathédrale 1712-13","Deux petits baldaquins pour le bosquet des bains d'apollon / nymphes et rochers pour le bassin des perlées / L'air : une des six statues pour la cascade champêtre / tête de chérubin pour la chapelle de versailles / travaux en collab. Pour la chapelle de versailles : voir collaboration / la discretion et la patience / Modèle pour un soleil du saint sacrement  / travaux pour la tribune royale / allégorie du christ avant héorde, trophées reliés à l'oeuvre précédente, modèle pour une boite d'orgue, modèle pour un pupître, / zéphyr et flore","Democritus et heraclitus deux terres cuites, on ne sait pour où /  /Montpellier :  l'enlèveent d'hélène pour l'arc de triomphe / Fontainebleau : modèle pour des pieds de cloches / couvent des augustins toulouse : 1702 : tombeau de joseph le cercl de Lesseville / Prométhée + viol de Pyschée pour on ne sait où / portrait de mabillon","Collection privée : une gloire de chérubin destiné à notre dame, , un chœur allégorique pour chœur de notre dame, un christ pour la Samaritaine , l'automne, l'hiver, le printemps l'été, Vulcain assis, le massacre des innocents en terre cuite. Sculptures trouvées dans son atelier et pas listées précédemment : acis et galatée ",Souchal + MC/ET/IX/600 et MC/ET/VIII/897 ) et MC/ET/I/293  et MC/ET/I/303 et MC/ET/IX/624 + F.L. 4615,"Avec S. Slodtz en 1701 pour des pieds de cloches (horloges) / pour le décor des bains d'apollon : avec Ph. Magnier, Vigier, Frémin, Le Lorrain, Herpin, Chauveau, S. Slodtz, Nourisson. Tuby le jeune, Raon, Robert, Varin, Fournier, et Bercher / avec barois pour les nymphes du bassins des perlées / pour les têtes de chérubin de la chapelle de versailles avec P. Lepautre, G. Coustou, Frémin, Le Lorrain, Raon / groupe d'enfants pour la chapelle de versailles avec Frémin, le lorrain, raon et G. coustou sur des modèles de Lepautre et Coustou / Les pères de l'église pour la chapelle avec Chabry, G. Coustou et Frémin, le lorrain et lepautre / trophées pour la chapelle avec Chabry, G. Coustou, Defer, Frémien, Le lorrain, le pautre, raon et tuby le jeune","oui, 1724 : inventaire arpès décès : de Philippe Bertrand, sculpteur ordinaire du roi, professeur en son académie, dressé à son domicile, rue de Sèvres, où il est décédé le 30 janvier 1724, à la requête de Marie Meusnier, sa veuve, en présence d'André et Thomas Bertrand (462), ses fils, mineurs émancipés, procédant sous l'autorité de leur mère, leur curatrice aux causes, et assisté de Josué Panier, horloger, demeurant quai Pelletier, leur oncle paternel et leur tuteur ad hoc. 8 feuillets. Appartement : au rez-de-chaussée, salle servant de cuisine, chambre; au-dessus de la salle, une chambre et une ""chambre haute"". - Mobilier : ameublement très simple, tapisserie de Bergame dans la 
salle, de point de Hongrie dans la chambre; quelques tableaux de peu de valeur : ""sujets divins"", fleurs, fruits, paysages. - Argenterie : elle est prisée 398 livres 2 sols 6 deniers. - Bijoux : une montre de Josué Panier, prisée 80 livres. - Habits : ceux du défunt sont prisés 195 livres, ceux de sa veuve 150 livres. 
Parmi les papiers (4 feuillets) : contrat de mariage Bertrand-Meusnier, 21 juin 1699, Aumont et Auvray, notaires; (dot : une maison rue de Sèvres, 2/7 de deux maisons sises au Gros-Caillou, plusieurs morceaux de prés en Normandie, un morceau de terre à Vanves et 1.000 livres, douaire : 300 livres de rente.) MC/ET/IX/624"
,,BERTRAND,David,,? - 1697,,"Judith Meusnier, femme de Philippe Bertrand vient d'une famille de sculpteurs (sœur du sculpteur Henri Meusnier et du maçon Jean Meusnier, tante de l'architecte Jean Meusnier, qui vit en exil pour des raisons religieuses)MC/ET/IX/600",Reçut à l'académie de ST Luc en 1657. Qualifié de sculpteur du Roi.,A vécu rue Michel-Le-Conte,,,"Château de St germain en laye, travaux / Château de clagny :  travaux / Meudon : dessins pour des manteaux de cheminée","Dans le Brice, il est mentionné qu'il était un sculpteur apprécié pour ses bas-reliefs sur les cheminées, dont certains paiements sont conservés dans les Comptes du Bâtiments du roi en 1673-74. Dans une lettre de 1697, Cronström note qu'il vient juste de mourir, endetté.",Souchal T1,,
,,BIDAUD,Nicolas,,"En 1714, déjà mort (F.L. 4917)",,Marié à Susane Simon  (F.L. 4917). Fille : Magdelaine Bidaud,"En 1714, dit sculpteur du roi (F.L.4917)","En 1714, sa femme habite rue Thomas du Louvre (F.L. 4917)",,,,,F.L. 4917,,
,,BLANCHARD,Etienne,,1632 - 1693,,"fils de Jean Blanchard, sculpteur. Marraine : la femme de Simon Lerambert, sculpteur du roi. Marié à Marie Berthaud en 1661",Sculpteur,,1665-6 : Christ et la Samaritaine pour la façace de la Samaritaine à Paris,"En commun ? : plusieurs animaux pour le labyrinthe de Versailles, et de smodèles pour des groupes d'enfants et autres figures pour le bassin de Vénus et Thétis","Œuvres communes avec son frère: décoration des bassins de chantilly, travaux au château de Clagny 1675",,Souchal T1,Avec Mazelin en 1676 pour les modèles pour la fontaine de l'Encelade. Avec mazeline et Houzeau : pour des ornments pour deux lanternes au dessus du toit de versailles. Avec mazeline et houzeau pour des corniches et ornments pour les salons de la grane galerie à Versailles. Avec mazline et houzeau pour des bosquets de l'arc de triomphe.,
,,BLANCHARD,Jacques,,1634 - 1689,,"Fils de Jean Blanchard, sculpteur. Parrain : Jacques Sarrazin, marraine : la femme de Simon Guillain. Marié à Toussainte Morel. Un afils : André, peintre. ",Sculpteur,"En 1680 habite rue de la Sourdière, paroisse St Roch (F.L. 5433)",,"En commun ? : plusieurs animaux pour le labyrinthe de Versailles, et de smodèles pour des groupes d'enfants et autres figures pour le bassin de Vénus et Thétis","Œuvres communes : décoration des bassins de chantilly, travaux au château de Clagny",,Souchal T1+ F.L. 5433,"Avec Mazlin en 1676 pour les modèles pour la fontaine de l'Encelade. Avec mazeline et Houzeau : pour des ornments pour deux lanternes au dessus du toit de versailles, en 1679. Avec Mazeline et Houzeau pour des corniches et ornemnts à versailles. Avec mazline et houzeau pour des bosquets de l'arc de triomphe.",
,,BLANCHET,Jacques,,,,,Sculpteur du roi en 1697 F.L. 5469,Paroisse St Eustache F.L. 5469,,,,,F.L. 5469,,
,,BLEGNY,Estienne,,,,,en 1715 qualifié de maitre sculpteur (F.L. 14512),"en 1715 demeure rue Jean de Lespine, paroisse St Jean en grève",,,,"assiste au mariage de Jean Baptiste Criquet, maitre sculpteur, en 1714 (F.L. 14512), brau frère du du marié, en compagnie de François de Blegny, également sculpteur",F.L. 14512,,
,,BLEGNY,François,,,,,En 1714 qualifié de maitre sculpteur F.L. 14512,"En 1714 habite rue Jean Pain Mollet, parroisse St Médéric (F.L. 14512)",,,,"assiste au mariage de Jean Baptiste Criquet, maitre sculpteur, en 1714 (F.L. 14512), amy du marié, en compagnie de Estienne Blegny également sculpteur",F.L. 14512,,
,,BOISSARD,Michel,,Meurt entre 1672 et 1682.,,Marié à Jeanne Lavalette (F.L. 5921),"Maitre sculpteur et peintre en 1667. un des anciens de l'académie de St Luc, où il a été admis le 9 janvier 1650.",Palais des Tuileries en 1667 (F.L. 5921),"Vers 1664-65 il travaille en collaboration avec son confrère Alexandre Jacquet, dit Grenoble, pour des masques de satyres et des têtes de lions sur une cheminée du pavillon des Tuileries.",,,,F.L. 5921 et LAMI,"Vers 1664-65 il travaille en collaboration avec son confrère Alexandre Jacquet, dit Grenoble, pour des masques de satyres et des têtes de lions sur une cheminée du pavillon des Tuileries.",
,,BONNET,Jacques,,,Natif de Toulon en Provence,"Fils de Joseph Bonnet, sculpteur. Se marie en 1704 avec Jeanne Lefebvre (régime matrimonial : séparation, biens de la future : 1.200 livres), douaire : 400 livres","En 1704 il  est dit compagnon sculpteur (il est devenu maitre entre 1704 et 1711, date de l'acte suivant), en 1719 : il est qualifié de maitre sculpteur et marbrier.","En 1704, habite avec sa femme rue Neuve-d'Orléans. En 1711, ils sont dit vivants Grande-rue du faubourg St Martin, et ils donnent un bail pour six ansà Marie Caillie, veuve du menuisier Jean Bardou, pour une maison (rdc+ 1 étage), sise rue de Bourbon, paroisse Saint Sauveur, 200 livres de loyer annuel.MC/ET/VII/198. En 1719 : ils habitent rue de Bourbon, à la Villeneuve.MC/ET/VII/219",,,,,MC/ET/IV/319 et MC/ET/VII/198 et MC/ET/VII/219,,
,,BOUDIN,Barthélémy,,,,,"En 1657, qualifié de maitre sculpteur (F.L. 6839)","En 1657 habite passage St Paul (F.L. 6839), oncle de Geneviève Cuvilliers",,,,,F.L. 6839,,
